Cut Value,Precision,Recall
0,99.0,1.0
1,99.0,1.0
2,99.0,1.0
3,99.0,1.0
4,99.0,1.0
5,99.0,1.0
6,99.0,1.0
7,99.0,1.0
8,99.0,1.0
9,99.0,1.0
10,99.0,1.0
11,99.0,1.0
12,99.0,1.0
13,99.0,1.0
14,99.0,1.0
15,99.0,1.0
16,99.0,1.0
17,99.0,1.0
18,99.0,1.0
19,99.0,1.0
20,99.0,1.0
21,99.0,1.0
22,97.0,3.0
23,97.0,3.0
24,97.0,3.0
25,97.0,3.0
26,97.0,3.0
27,95.0,5.0
28,91.0,9.0
29,86.0,14.000000000000002
30,86.0,14.000000000000002
31,86.0,14.000000000000002
32,78.0,22.0
33,77.0,23.0
34,76.0,24.0
35,76.0,24.0
36,76.0,24.0
37,76.0,24.0
38,76.0,24.0
39,72.0,28.000000000000004
40,70.0,30.0
41,70.0,30.0
42,70.0,30.0
43,70.0,30.0
44,70.0,30.0
45,70.0,30.0
46,70.0,30.0
47,70.0,30.0
48,70.0,30.0
49,56.00000000000001,44.0
50,56.00000000000001,44.0
51,56.00000000000001,44.0
52,56.00000000000001,44.0
53,56.00000000000001,44.0
54,56.00000000000001,44.0
55,56.00000000000001,44.0
56,53.0,47.0
57,53.0,47.0
58,53.0,47.0
59,53.0,47.0
60,53.0,47.0
61,53.0,47.0
62,53.0,47.0
63,53.0,47.0
64,53.0,47.0
65,53.0,47.0
66,17.0,83.0
67,17.0,83.0
68,17.0,83.0
69,17.0,83.0
70,17.0,83.0
71,17.0,83.0
72,17.0,83.0
73,17.0,83.0
74,17.0,83.0
75,6.0,94.0
76,6.0,94.0
77,6.0,94.0
78,6.0,94.0
79,6.0,94.0
80,4.0,96.0
81,4.0,96.0
82,4.0,96.0
83,4.0,96.0
84,4.0,96.0
85,4.0,96.0
86,3.0,97.0
87,3.0,97.0
88,3.0,97.0
89,3.0,97.0
90,3.0,97.0
91,3.0,97.0
92,3.0,97.0
93,3.0,97.0
94,3.0,97.0
95,3.0,97.0
96,3.0,97.0
97,3.0,97.0
98,3.0,97.0
99,3.0,97.0
100,0.0,100.0
